total_images,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,locality_name,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,year,month,weekday,price_per_m2,floor_type
7,3350000.0,40.4,2018-12-04,1,2.72,11,18.6,1,True,False,False,11.0,2,поселок Шушары,12817.0,18603.0,0.0,3100.0,0.0,3100.0,81,2018,12,1,82920.79,Первый
10,2890000.0,30.4,2018-09-10,1,2.72,12,14.4,5,True,False,False,9.1,0,городской поселок Янино-1,,,,,,,55,2018,9,0,95065.79,Другой
6,3700000.0,37.3,2017-11-02,1,2.72,26,10.6,6,True,False,False,14.4,1,поселок Парголово,52996.0,19143.0,0.0,3100.0,0.0,3100.0,155,2017,11,3,99195.71,Другой
20,2900000.0,33.16,2018-05-23,1,2.72,27,15.43,26,True,False,False,8.81,0,поселок Мурино,,,,,,,189,2018,5,2,87454.76,Другой
18,5400000.0,61.0,2017-02-26,3,2.5,9,43.6,7,True,False,False,6.5,2,Санкт-Петербург,50898.0,15008.0,0.0,3100.0,0.0,3100.0,289,2017,2,6,88524.59,Другой
5,5050000.0,39.6,2017-11-16,1,2.67,12,20.3,3,True,False,False,8.5,0,Санкт-Петербург,38357.0,13878.0,1.0,310.0,2.0,553.0,137,2017,11,3,127525.25,Другой
9,3300000.0,44.0,2018-08-27,2,2.72,5,31.0,4,False,False,False,6.0,1,Ломоносов,48252.0,51677.0,0.0,3100.0,0.0,3100.0,7,2018,8,0,75000.0,Другой
10,3890000.0,54.0,2016-06-30,2,2.72,5,30.0,5,True,False,False,9.0,0,Сертолово,,,,,,,90,2016,6,3,72037.04,Последний
20,3550000.0,42.8,2017-07-01,2,2.56,5,27.0,5,True,False,False,5.2,1,Петергоф,37868.0,33058.0,1.0,294.0,3.0,298.0,366,2017,7,5,82943.93,Последний
1,4400000.0,36.0,2016-06-23,1,2.72,6,17.0,1,True,False,False,8.0,0,Пушкин,20782.0,30759.0,0.0,3100.0,1.0,96.0,203,2016,6,3,122222.22,Первый
